1,neutral,__HNDL LOST Sony cell phone with holiday photos Early Fri morning Montreal transit plaza or no 13 bus to airport REWARD __PUNC_EXCL Plz RT 
2,neutral,__HNDL well yeah thats third parties Sony itself __NEG putting out actual games for it Its got 1 2 yrs of 3rd party support left 
3,negative,Sony rewards app is like a lot of 19 y o female singers and a non retro sale 2nd one with no info
4,neutral,__HNDL Have android tab and __NEG use phone much in fact very little May go the Sony route then __EMOT_SMILEY 
5,positive,Finally I get my ps4 back I sent it to Sony cause my HDMI was mess up now I can play MGs Tuesday yeaa buddy
6,negative,__HNDL Why __NEG u guys help me out __PUNC_EXCL __PUNC_QUES Im calling Sony tomorrow __PUNC_EXCL I want help but the support team 3 hours of tweeting and __NEG
7,neutral,Sonys 1st teaser package for the launch of the original Playstation seems to feature a dominatrix __PUNC_QUES __URL __HASH_MISTRESSOPHIA
8,neutral,__HASH_TV Ind vs SL 3rd Test Day 3 Cricket live score and Sony Six live streaming info Watch the live teleca __PUNC_ELLP __URL __HASH_SONY
9,neutral,__HNDL __HNDL __HNDL __HNDL __HNDL __HNDL Lol its all about Sony Sony Sony if Sony gave Bjs u be the 1st
10,neutral,__HNDL Official reason because the game has to be on our region store and sony __NEG have it up til tuesday
11,positive,the only thing crazier than last gen was 6th gen a 4 way console race between Sega Nintendo Microsoft amp Sony youll __NEG see that again
12,positive,When you remember Sony is trying to make bible study mandatory on Sunday nights __HNDL __URL 
13,neutral,I know its coming coon but I __NEG get why its taken so long for Sony to release a remote for the PS4 All of the 3rd party ones are bad 
14,positive,__HNDL Everyone is playing 3 0 and Im just sitting here playing 2 0 because Sony is making me wait until tomorrow 
15,positive,Albert Shum and I won 3rd in a SONY design competition in early 90s __PUNC_ELLP our design was a phone in which you push __PUNC_ELLP __URL 
16,neutral,At least Sony will probably be selling it for cheap come Black Friday 
17,neutral,__HNDL Might keep SONY monthly subs going beyond tomorrow __PUNC_ELLP 
18,positive,__HNDL __NEG Tomorrow Wait __PUNC_ELLP tomorrows also when Sony breaks out the next bundle of PS freebies Oh what a LOVELY day __PUNC_EXCL 
19,neutral,Uncharted 4 A Thiefs End launches for PS4 in North America on March 18 2016 Sony announced today The latest game in the Naughty D __PUNC_ELLP 
20,negative,__HNDL Will be interesting to see if Sony addresses the heat issues in the Z5 it may have found a work around
21,positive,__HNDL is official Coming back to the Sony family with Destiny in hand Sept 15th 
22,neutral,__HNDL Hi Adam you may need to contact Playstation support or Sony for details regarding this aspect of your purchase TO
23,positive,Oh my gosh actual acknowledgement from Sony the Vita exists __URL 
24,positive,Mashable Sonys electronics division may be in a slump but it __NEG plan on fading quietly into the night To spur innovation at __PUNC_ELLP 
25,neutral,__HASH_TECH Sonys new smartwatch packs all its tech in the wristband Sonys electronics division may be in a slump __PUNC_ELLP __URL 
26,negative,__HNDL __HNDL both of webb ones made less money than the 3rd Raimi one plus the success of Marvel had Sony scared i think
27,negative,And in comes Sony with the letdown Only one color Clap it up __PUNC_ELLP low and slow __URL 
28,neutral,__HNDL Its the disc tray reader thats all I know My warranty is up so it would be 140 to get fixed by Sony so may do it myself
